name,lang,id,n,size(B),cpu-time(s),mem(KB),status,make-time(s),elapsed-time(s),threefour(s),onetwo(s),cpu-time-mean(s),cpu-time-variance,cpu-time-sample
binarytrees,lua,4,21,670,179.575,2606125056,0,0.00,48.423,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,178.818,2606067712,0,0.00,48.539,0.000,0.000,0.000,0.000,1
binarytrees,lua,4,21,670,179.776,2606235648,0,0.00,48.690,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.798,1316397056,0,0.00,23.956,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,82.218,1316569088,0,0.00,22.530,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.235,1316470784,0,0.00,22.428,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.942,1316466688,0,0.00,22.630,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.795,1316487168,0,0.00,22.349,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.391,1316573184,0,0.00,22.338,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.843,1316589568,0,0.00,22.528,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.133,1316532224,0,0.00,22.242,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.715,1316560896,0,0.00,22.469,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.832,1316544512,0,0.00,22.421,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.917,1316442112,0,0.00,22.393,0.000,0.000,0.000,0.000,1
binarytrees,php,7,21,767,81.773,1316544512,0,0.00,22.361,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,7,646,0.030,10043392,0,19.88,0.907,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.238,1825243136,0,19.88,2.069,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.211,1825447936,0,19.88,2.055,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.225,1825423360,0,19.88,2.084,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.246,1825476608,0,19.88,2.077,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.263,1825251328,0,19.88,2.063,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.234,1825460224,0,19.88,2.062,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.245,1825484800,0,19.88,2.069,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.244,1825435648,0,19.88,2.097,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.256,1825325056,0,19.88,2.065,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.260,1825460224,0,19.88,2.085,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.250,1825415168,0,19.88,2.077,0.000,0.000,0.000,0.000,1
binarytrees,chapel,5,21,646,7.233,1825480704,0,19.88,2.080,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,7,558,0.015,11034624,0,96.82,0.400,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.247,310317056,0,96.82,5.258,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.116,286674944,0,96.82,5.123,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.180,299606016,0,96.82,5.185,0.000,0.000,0.000,0.000,1
binarytrees,graalvmaot,2,21,558,5.197,299610112,0,96.82,5.204,0.000,0.000,0.000,0.000,1
